Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,pH_Level,Temperature_C,Rainfall_mm,Recommended_Fertilizer
199.82,33.02,378.5,7.37,24.0,1286.1,Standard Balanced NPK
430.29,29.97,133.03,6.57,17.8,792.3,Standard Balanced NPK
342.8,18.21,205.99,8.84,18.8,373.7,Gypsum & DAP
289.46,50.55,348.48,5.49,20.4,1131.3,Lime & Urea
112.41,40.75,266.94,7.15,21.1,686.1,Urea (High N)
112.4,69.93,382.36,7.65,22.3,932.5,Urea (High N)
73.23,7.41,482.54,8.22,22.7,250.2,Standard Balanced NPK
396.47,53.29,102.45,6.33,28.7,984.2,MOP (High K)
290.45,62.22,369.31,7.59,30.3,623.0,Standard Balanced NPK
333.23,61.96,153.65,5.86,24.3,567.9,Standard Balanced NPK
58.23,71.46,236.51,6.46,42.2,1471.9,Urea (High N)
437.96,59.68,64.79,8.53,31.6,705.4,Gypsum & DAP
382.98,74.59,111.16,8.77,38.6,1049.3,Gypsum & DAP
134.94,29.95,193.9,7.73,42.7,978.8,Standard Balanced NPK
122.73,42.74,203.89,6.18,19.9,246.0,Urea (High N)
123.36,6.06,454.81,8.19,27.8,1147.1,Standard Balanced NPK
171.7,5.52,383.82,4.62,28.0,552.4,Lime & Urea
259.9,23.01,487.48,4.96,25.6,1218.5,Lime & Urea
222.78,12.56,319.58,7.48,15.3,950.7,DAP (High P)
166.49,24.52,158.77,5.81,39.5,543.9,Standard Balanced NPK
294.74,18.28,197.44,8.78,18.3,598.8,Gypsum & DAP
105.8,7.14,193.93,6.46,44.9,1124.1,Standard Balanced NPK
166.86,73.2,196.92,6.43,38.2,870.1,Standard Balanced NPK
196.54,5.62,352.83,7.55,32.4,1035.7,Standard Balanced NPK
232.43,60.21,288.86,7.95,19.6,321.6,Standard Balanced NPK
364.07,16.41,223.44,6.64,30.5,1201.8,DAP (High P)
129.87,73.42,117.09,5.46,22.8,548.5,Lime & Urea
255.69,71.96,59.96,7.98,22.6,967.8,MOP (High K)
286.97,54.04,148.48,5.94,39.9,260.6,MOP (High K)
68.58,55.42,98.36,5.29,26.4,550.0,Lime & Urea
293.02,5.4,403.45,7.34,28.5,1008.4,DAP (High P)
118.21,78.87,100.62,4.91,40.3,483.9,Lime & Urea
76.02,70.84,375.9,8.87,17.6,1332.4,Gypsum & DAP
429.55,72.13,223.55,7.35,32.8,1025.7,Standard Balanced NPK
436.25,54.44,83.02,8.94,32.3,1318.4,Gypsum & DAP
373.36,30.86,415.73,6.03,27.8,653.5,Standard Balanced NPK
